Unnamed: 0,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
282,2,108,3,44,15,1,0,2,1786,44,0,0,100,18,0,0,1,0,0,0,0,0,0,0,3
283,1,18,0,7,2,0,0,0,297,7,0,0,16,3,0,0,0,0,0,0,0,0,0,0,3
284,2,71,2,22,8,1,0,2,1601,31,0,0,62,11,0,0,0,0,0,0,0,0,0,0,3
285,1,17,0,5,2,0,0,0,401,7,0,0,15,2,0,0,0,0,0,0,0,0,0,0,3
286,4,71,0,2,17,1,13,0,2316,9,0,0,168,6,0,0,7,0,0,1384,0,10,0,0,0
287,1,10,0,0,2,0,2,0,7,0,0,0,19,1,0,0,1,0,0,3,0,1,0,0,2
288,2,105,0,22,28,3,15,0,69,8,0,0,110,5,0,14,23,0,0,37,0,10,0,0,0
289,1,17,0,3,4,0,2,0,11,1,0,0,18,0,0,2,3,0,0,6,0,1,0,0,1
290,2,68,0,2,18,2,15,0,22,4,0,0,77,3,0,3,31,0,0,11,0,5,0,0,0
291,1,17,0,0,4,0,3,0,5,1,0,0,19,0,0,0,7,0,0,2,0,1,0,0,1
292,2,98,0,3,26,3,22,0,57,8,0,0,122,6,0,1,49,0,0,25,1,15,0,0,0
293,1,16,0,0,4,0,3,0,9,1,0,0,20,1,0,0,8,0,0,4,0,2,0,0,1
294,2,65,0,2,17,2,14,0,24,5,0,0,90,4,0,0,30,0,0,11,0,7,0,0,0
295,1,16,0,0,4,0,3,0,6,1,0,0,22,1,0,0,7,0,0,2,0,1,0,0,1
296,2,79,0,5,21,3,14,0,56,10,0,0,185,6,0,0,30,0,0,25,0,18,0,0,0
297,6,79,0,5,21,3,14,0,56,10,0,0,185,6,0,0,30,0,0,25,0,18,0,0,0
298,1,13,0,0,3,0,2,0,9,1,0,0,30,1,0,0,5,0,0,4,0,3,0,0,1
299,1,7,0,0,1,0,1,0,5,0,0,0,17,0,0,0,2,0,0,2,0,1,0,0,2
300,2,49,0,3,13,2,10,0,383,6,0,0,135,4,0,1,21,0,0,213,3,29,0,0,0
301,4,49,0,3,13,2,10,0,383,6,0,0,135,4,0,1,21,0,0,213,3,29,0,0,0
302,4,56,0,3,14,2,11,0,433,7,0,0,153,5,0,1,24,0,0,241,3,33,0,0,0
303,4,49,0,3,13,2,10,0,383,6,0,0,135,4,0,1,21,0,0,213,3,29,0,0,0
304,4,49,0,3,13,2,10,0,383,6,0,0,135,4,0,1,21,0,0,213,3,29,0,0,0
305,1,12,0,0,3,0,2,0,96,1,0,0,34,1,0,0,5,0,0,53,0,7,0,0,0
306,1,7,0,0,1,0,1,0,54,0,0,0,19,0,0,0,3,0,0,30,0,4,0,0,2
307,2,86,0,1,23,1,18,0,76,1,0,0,224,6,0,2,72,0,0,40,0,10,0,0,0
308,1,14,0,0,4,0,3,0,12,0,0,0,37,1,0,0,12,0,0,6,0,1,0,0,1
309,2,57,0,1,15,1,12,0,50,1,0,0,149,4,0,2,48,0,0,28,0,4,0,0,0
310,1,14,0,0,4,0,3,0,12,0,0,0,37,1,0,0,12,0,0,7,0,1,0,0,1
311,2,66,0,3,17,2,0,0,35,6,0,0,129,6,0,0,45,0,0,0,0,0,0,0,3
312,1,11,0,0,2,0,0,0,5,1,0,0,21,1,0,0,7,0,0,0,0,0,0,0,3
313,2,41,0,2,11,1,0,0,0,4,0,0,88,3,0,0,31,0,0,0,0,0,0,0,3
314,1,10,0,0,2,0,0,0,0,1,0,0,22,0,0,0,7,0,0,0,0,0,0,0,3
315,6,112,0,5,27,2,7,0,10,8,0,0,222,15,0,0,29,0,0,5,0,3,0,0,0
